VideoID,Title,PublishedAt,ChannelName,Views,Likes,Comments,Duration_seconds
4as4CS1x2w0,إمبراطورية الموز | الدحيح,2024-10-12 17:00:06+00:00,New Media Academy Life ,2403323.0,63521.0,1309.0,1737.0
hsVCF5qehIw,الوسواس القهري | الدحيح,2024-10-08 17:00:06+00:00,New Media Academy Life ,4263493.0,132779.0,3498.0,1652.0
UFGA-outZ0o,الأطفال المبتسرين | الدحيح,2024-10-05 17:00:07+00:00,New Media Academy Life ,1611893.0,55277.0,1154.0,1340.0
lLBCM_VJIdI,أم كلثوم في باريس | الدحيح,2024-10-01 17:00:22+00:00,New Media Academy Life ,5203200.0,173762.0,8409.0,2642.0
z9OmIeudbY8,أغبى شخص في الغرفة | الدحيح,2024-09-28 17:00:26+00:00,New Media Academy Life ,3489225.0,122436.0,3082.0,1508.0
eCg6Ybtl2sA,الطريق إلى العدوى | الدحيح,2024-09-24 17:00:21+00:00,New Media Academy Life ,1918815.0,58259.0,1332.0,2037.0
81IXLTQHy6I,عدو الكوكب | الدحيح,2024-09-21 17:00:06+00:00,New Media Academy Life ,2260637.0,67461.0,1272.0,1551.0
ttGWcwBoGks,بروس لي | الدحيح,2024-09-17 17:00:06+00:00,New Media Academy Life ,4516277.0,131842.0,2892.0,1970.0
5SprLhOUpp4,وشتى في هذا المكان وذبح ذبيح، يا الله أُقدّم لك السّلام | الدحيح,2024-09-14 17:00:07+00:00,New Media Academy Life ,3622403.0,111182.0,5729.0,1713.0
sqZqANdRKrk,الحرب الأهلية الأمريكية ٢ | الدحيح,2024-09-10 17:00:08+00:00,New Media Academy Life ,2683811.0,80875.0,1838.0,2092.0
